일자,A,B,C,D,E,F,G,H,I,J,K
1987-05-01,9.33,113.1,8.61,65.6,2759.7,102135,0.85,6.1,18.58,100.7921669,3048.4
1987-06-01,9.32,113.5,8.4,66.3,2773.4,102742,0.83,6.3,18.86,100.8962691,3072.8
1987-07-01,9.42,113.8,8.45,66.8,2785.2,101990,1.01,6.1,19.86,100.9382799,3094.7
1987-08-01,9.67,114.4,8.76,66.5,2787.5,102219,1.01,5.8,18.98,100.8992643,3130.8
1987-09-01,10.18,115,9.42,65.5,2793.3,102986,1.08,5.7,18.31,100.7837042,3126.5
1987-10-01,10.52,115.3,9.52,65.9,2811.2,103893,1.12,5.7,18.76,100.6185778,3134.5
1987-11-01,10.01,115.4,8.86,65.7,2821.6,104232,1.17,5.6,17.78,100.4515666,3144.2
1987-12-01,10.11,115.4,8.99,65.5,2838.3,104472,1.13,5.4,17.05,100.3356105,3174.1
1988-01-01,9.88,115.7,8.67,65.1,2857.2,102380,1.04,6.3,16.75,100.2771455,3213.7
1988-02-01,9.4,116,8.21,65.2,2858.8,102951,1.03,6.2,15.73,100.2679894,3221.4
1988-03-01,9.39,116.5,8.37,65.2,2886.7,103693,1.1,5.9,14.73,100.2974405,3260.5
1988-04-01,9.67,117.1,8.72,65.3,2925.3,104587,1.13,5.3,16.6,100.352149,3263
1988-05-01,9.9,117.5,9.09,65.5,2910.7,105347,1.09,5.4,16.31,100.4204748,3293.6
1988-06-01,9.86,118,8.92,66.7,2935.3,106208,0.89,5.5,15.54,100.483125,3318.5
1988-07-01,9.96,118.5,9.06,67.1,2953.2,105315,0.78,5.5,14.91,100.5207681,3342.7
1988-08-01,10.11,119,9.26,66.8,2949.8,105477,0.63,5.4,14.89,100.5372113,3368
1988-09-01,9.82,119.8,8.98,65.9,2950.1,106341,0.52,5.2,13.18,100.540516,3375
1988-10-01,9.51,120.2,8.8,66.1,2962,107013,0.45,5,12.41,100.5383387,3413.7
1988-11-01,9.45,120.3,8.96,66.2,2982.7,107500,0.29,5.2,13.02,100.5313864,3430.2
1988-12-01,9.57,120.5,9.11,65.9,3000.6,107722,0.02,5,15.31,100.5128986,3459.7
1989-01-01,9.62,121.1,9.09,65.8,2998.9,105743,-0.09,6,17.17,100.4629254,3483.7
1989-02-01,9.64,121.6,9.17,65.6,2982.6,106170,-0.2,5.6,16.89,100.3647346,3488
1989-03-01,9.8,122.3,9.36,65.7,2999,106813,-0.32,5.2,18.7,100.2249008,3498.8
1989-04-01,9.79,123.1,9.18,65.9,3023.2,107611,-0.27,5.1,20.32,100.0676914,3543
1989-05-01,9.57,123.8,8.86,66.2,2996,108294,-0.16,5,18.63,99.91730059,3551.8
1989-06-01,9.1,124.1,8.28,67.4,3022.6,108937,-0.13,5.5,17.67,99.80128857,3566.6
1989-07-01,8.93,124.4,8.02,67.7,3055.6,107848,0.2,5.3,17.62,99.73064891,3585.7
1989-08-01,8.96,124.6,8.11,67.2,3071.1,107927,-0.03,5.1,16.77,99.70365583,3620.6
1989-09-01,9.01,125,8.19,66.3,3086.3,108724,-0.09,5.1,17.77,99.70687698,3621.9
1989-10-01,8.92,125.6,8.01,66.6,3109.3,109217,0.03,5,18.91,99.72068149,3633.6
1989-11-01,8.89,125.9,7.87,66.7,3136,109657,0.07,5.2,18.73,99.74279099,3643.3
1989-12-01,8.86,126.1,7.84,66.3,3165.6,109666,0.06,5.1,19.84,99.77091319,3684.2
1990-01-01,8.99,127.4,8.21,66,3170.4,107573,0.12,6,21.25,99.8027016,3730.7
1990-02-01,9.22,128,8.47,66,3170.5,108069,0.1,5.9,19.81,99.83069156,3728.2
1990-03-01,9.37,128.7,8.59,66.2,3192.6,108724,-0.04,5.5,18.39,99.83022588,3754.9
1990-04-01,9.46,128.9,8.79,66.1,3219.8,109365,0.07,5.3,16.61,99.76202332,3770
1990-05-01,9.47,129.2,8.76,66.5,3186.7,110270,0.12,5.2,16.35,99.60625132,3775.8
1990-06-01,9.26,129.9,8.48,67.4,3210.8,110837,0.13,5.4,15.1,99.34541318,3804.5
1990-07-01,9.24,130.4,8.47,67.7,3224.5,109567,0.31,5.6,17.17,98.98500959,3821.7
1990-08-01,9.41,131.6,8.75,67.1,3238.7,109449,0.69,5.5,27.17,98.55363716,3848.3
1990-09-01,9.56,132.7,8.89,66.4,3249,110044,0.81,5.6,34.9,98.11779248,3870.1
1990-10-01,9.53,133.5,8.72,66.5,3253.7,110240,0.84,5.5,36.02,97.74051784,3870.6
1990-11-01,9.3,133.8,8.39,66.3,3265.3,110203,0.79,5.9,33.07,97.48158578,3871.9
1990-12-01,9.05,133.8,8.08,66.1,3285.1,109974,0.77,6,28.27,97.38154933,3861.3
1991-01-01,9.04,134.6,8.09,65.5,3289.3,107425,0.96,7.1,23.57,97.43981957,3841
1991-02-01,8.83,134.8,7.85,65.7,3296.3,107393,0.98,7.3,19.54,97.64027615,3866.7
1991-03-01,8.93,135,8.11,65.9,3327.3,107682,1.01,7.2,19.08,97.93491792,3913
1991-04-01,8.86,135.2,8.04,66,3349.5,108070,1.09,6.5,19.18,98.26756811,3907.1
1991-05-01,8.86,135.6,8.07,66,3330.3,108752,1.29,6.7,19.19,98.59965411,3933.2
1991-06-01,9.01,136,8.28,67.2,3349.7,109233,1.32,7,18.17,98.90182419,3940.5
1991-07-01,9,136.2,8.27,67.3,3354.4,108031,1.35,6.8,19.4,99.13183552,3966
1991-08-01,8.75,136.6,7.9,66.6,3351.4,108123,1.47,6.6,19.77,99.25523989,3969.1
1991-09-01,8.61,137.2,7.65,66.1,3347.6,108840,1.47,6.5,20.5,99.27820018,3984.7
1991-10-01,8.55,137.4,7.53,66.1,3353.8,109210,1.62,6.5,22.21,99.23031706,3976
1991-11-01,8.48,137.8,7.42,66,3371.2,109226,1.86,6.7,21.11,99.16117687,4003.6
1991-12-01,8.31,137.9,7.09,65.8,3386.4,109110,2.06,6.9,18.41,99.12885771,4020.5
1992-01-01,8.2,138.1,7.03,65.7,3383.2,106723,2.07,8.1,18.16,99.17360798,4084.7
1992-02-01,8.29,138.6,7.34,65.8,3390.1,106977,2.13,8.2,18.05,99.28778349,4099.5
1992-03-01,8.35,139.3,7.54,66,3404.8,107495,1.85,7.8,17.63,99.44208841,4117
1992-04-01,8.33,139.5,7.48,66,3418.9,108330,2.14,7.2,18.92,99.5822822,4131.5
1992-05-01,8.28,139.7,7.39,66.4,3388,109137,2.16,7.3,19.89,99.6716203,4158.4
1992-06-01,8.22,140.2,7.26,67.6,3388.7,109626,2.21,8,21.16,99.6992752,4177.1
1992-07-01,8.07,140.5,6.84,67.9,3393.2,108608,2.48,7.7,20.24,99.69059224,4204.8
1992-08-01,7.95,140.9,6.59,67.2,3396.5,108664,2.4,7.4,19.74,99.68274453,4220.9
1992-09-01,7.92,141.3,6.42,66.3,3401.2,109449,2.53,7.3,20.27,99.71468944,4255.3
1992-10-01,7.99,141.8,6.59,66.2,3418.7,110036,2.51,6.9,20.26,99.80810494,4284.7
1992-11-01,8.1,142,6.87,66.2,3433.4,110276,2.29,7.1,19.21,99.94262073,4300.5
1992-12-01,7.98,141.9,6.77,66.1,3441.3,110265,2.1,7.1,18.14,100.0627775,4336.4
1993-01-01,7.91,142.6,6.6,65.6,3423.6,108099,2.21,8,17.39,100.1208797,4340.7
1993-02-01,7.71,143.1,6.26,65.8,3400.7,108702,2.16,7.8,18.47,100.1047381,4355.3
1993-03-01,7.58,143.6,5.98,65.8,3410.5,109136,2.03,7.4,18.79,100.0206515,4352.5
1993-04-01,7.46,144,5.97,65.6,3430.4,110140,2.13,6.9,18.67,99.89728894,4393.4
1993-05-01,7.43,144.2,6.04,66.3,3425,111103,2.06,6.8,18.51,99.7538423,4422.4
1993-06-01,7.33,144.4,5.96,67.3,3439.5,111693,1.8,7.2,17.65,99.63292733,4440
1993-07-01,7.17,144.4,5.81,67.5,3442.6,110825,1.74,7,16.78,99.56627932,4468.9
1993-08-01,6.85,144.8,5.68,67,3440.9,110936,1.68,6.6,16.7,99.57749648,4481.1
1993-09-01,6.66,145.1,5.36,66.1,3443.5,111925,1.51,6.4,16.01,99.67216273,4511.5
1993-10-01,6.67,145.7,5.33,66.4,3452.7,112591,1.46,6.4,16.61,99.8413007,4532.8
1993-11-01,6.93,145.8,5.72,66.3,3474.7,112934,1.56,6.2,15.2,100.0566992,4554.1
1993-12-01,6.93,145.8,5.77,66.2,3495.1,113085,1.56,6.1,13.73,100.2954119,4571.1
1994-01-01,6.92,146.2,5.75,66,3480.1,110833,1.61,7.3,14.29,100.5189714,4585.1
1994-02-01,7.08,146.7,5.97,66.2,3459.7,111414,1.5,7.1,13.8,100.7010851,4632.6
1994-03-01,7.48,147.2,6.48,66.1,3477.2,112389,1.48,6.8,13.82,100.8367757,4646
1994-04-01,7.88,147.4,6.97,66,3503.1,113469,1.42,6.2,15.23,100.9224345,4671.1
1994-05-01,7.99,147.5,7.18,66.5,3474.5,114480,1.21,5.9,16.19,100.960277,4669.5
1994-06-01,7.97,148,7.1,67.2,3477.4,115270,1.17,6.2,16.76,100.9560553,4708.9
1994-07-01,8.11,148.4,7.3,67.5,3491.5,114325,1.17,6.2,17.6,100.923327,4720.6
1994-08-01,8.07,149,7.24,67.2,3481.6,114633,1.06,5.9,16.89,100.8759042,4762.6
1994-09-01,8.34,149.4,7.46,66.5,3476.8,115693,1.07,5.6,15.9,100.8148463,4775
1994-10-01,8.57,149.5,7.74,66.8,3478.2,116318,1.01,5.4,16.49,100.7332666,4812.9
1994-11-01,8.68,149.7,7.96,66.7,3491.8,116926,0.81,5.3,17.19,100.6103018,4825.6
1994-12-01,8.46,149.7,7.81,66.5,3507.8,116964,0.22,5.1,15.93,100.4358318,4841.6
1995-01-01,8.46,150.3,7.78,66.1,3495.3,114656,0.27,6.2,16.55,100.2048306,4851.2
1995-02-01,8.26,150.9,7.47,66.2,3474.9,115314,0.36,5.9,17.11,99.9191096,4850.8
1995-03-01,8.12,151.4,7.2,66.4,3491.7,116069,0.42,5.7,17.01,99.60708883,4885.4
1995-04-01,8.03,151.9,7.06,66.4,3522.4,116902,0.49,5.6,18.65,99.31676257,4890.2
1995-05-01,7.65,152.2,6.63,66.4,3506.7,117625,0.46,5.5,18.35,99.08724257,4933.1
1995-06-01,7.3,152.5,6.17,67.2,3545.5,118341,0.45,5.8,17.31,98.93403753,4977.5
1995-07-01,7.41,152.5,6.28,67.7,3569.7,117106,0.5,5.9,15.85,98.84495067,4970.2
1995-08-01,7.57,152.9,6.49,67.1,3585.2,117370,0.51,5.6,16.1,98.78866127,5005.3
1995-09-01,7.32,153.2,6.2,66.5,3594.6,118285,0.39,5.4,16.7,98.73953674,5020.5
1995-10-01,7.12,153.7,6.04,66.7,3602.3,118886,0.34,5.2,16.11,98.69831337,5013.9
1995-11-01,7.02,153.6,5.93,66.5,3622.9,119125,0.45,5.3,16.86,98.67842951,5055.6
1995-12-01,6.82,153.5,5.71,66.2,3653.3,119123,0.39,5.2,17.93,98.69335692,5097.5
1996-01-01,6.81,154.4,5.65,65.8,3651.3,116423,0.54,6.3,17.85,98.75352371,5085.7
1996-02-01,6.99,154.9,5.81,66.1,3647.5,117363,0.78,6,18,98.86541648,5132.8
1996-03-01,7.35,155.7,6.27,66.4,3694,118167,0.61,5.8,19.85,99.01762098,5173.3
1996-04-01,7.5,156.3,6.51,66.2,3720.6,119005,0.55,5.4,20.9,99.1782162,5208
1996-05-01,7.62,156.6,6.74,66.7,3690.1,120132,0.64,5.4,19.15,99.32843489,5223.8
1996-06-01,7.71,156.7,6.91,67.4,3721,120796,0.61,5.5,18.46,99.45072144,5229.8
1996-07-01,7.65,157,6.87,67.9,3734.1,119759,0.6,5.6,19.57,99.53657708,5251.9
1996-08-01,7.46,157.3,6.64,67.2,3741.6,120051,0.61,5.1,20.51,99.60458708,5275
1996-09-01,7.66,157.8,6.83,66.8,3744.2,120796,0.6,5,22.63,99.66897185,5296.6
1996-10-01,7.39,158.3,6.53,67.1,3758.7,121516,0.62,4.9,24.16,99.73442638,5328.5
1996-11-01,7.1,158.6,6.2,67,3797.2,121976,0.5,5,22.76,99.80860217,5351.2
1996-12-01,7.2,158.6,6.3,66.7,3839.8,121954,0.52,5,23.78,99.88829227,5378.6
1997-01-01,7.42,159.1,6.58,66.4,3839.5,119412,0.57,5.9,23.54,99.98176355,5411.1
1997-02-01,7.31,159.6,6.42,66.5,3835.1,120273,0.52,5.7,20.85,100.0964502,5434
1997-03-01,7.55,160,6.69,66.9,3873.2,121156,0.47,5.5,19.13,100.2201254,5454.2
1997-04-01,7.73,160.2,6.89,66.7,3905.7,122131,0.44,4.8,17.56,100.3482855,5459.3
1997-05-01,7.58,160.1,6.71,67,3869.4,123212,0.43,4.7,19.02,100.4761786,5460.2
